"region","scenario","landuse","year","LU_frac"
"Taiwan","Reference_CI_HadGEM","urban","2090",2.17347
"Taiwan","Reference_CI_HadGEM","urban","2095",2.17347
"Taiwan","Reference_CI_HadGEM","urban","2100",2.17347
"China","Reference_CI_IPSL","biomass","1990",0
"China","Reference_CI_IPSL","biomass","2005",0
"China","Reference_CI_IPSL","biomass","2010",0
"China","Reference_CI_IPSL","biomass","2015",0
"China","Reference_CI_IPSL","biomass","2020",1.58851507225
"China","Reference_CI_IPSL","biomass","2025",1.50555464682
"China","Reference_CI_IPSL","biomass","2030",1.99073529917
"China","Reference_CI_IPSL","biomass","2035",2.76190198405
"China","Reference_CI_IPSL","biomass","2040",4.30204331217
"China","Reference_CI_IPSL","biomass","2045",8.30583493695
"China","Reference_CI_IPSL","biomass","2050",13.08870326789
"China","Reference_CI_IPSL","biomass","2055",17.79245734094
"China","Reference_CI_IPSL","biomass","2060",22.47579598424
"China","Reference_CI_IPSL","biomass","2065",27.488348377685
"China","Reference_CI_IPSL","biomass","2070",32.844805405746
"China","Reference_CI_IPSL","biomass","2075",38.570329998856
"China","Reference_CI_IPSL","biomass","2080",45.350527453093
"China","Reference_CI_IPSL","biomass","2085",51.9527259499857
"China","Reference_CI_IPSL","biomass","2090",59.2392109044788
"China","Reference_CI_IPSL","biomass","2095",65.9906330914069
"China","Reference_CI_IPSL","biomass","2100",75.0764927289428
"China","Reference_CI_IPSL","crops","1990",1179.30707611366
"China","Reference_CI_IPSL","crops","2005",1186.48502614058
"China","Reference_CI_IPSL","crops","2010",1144.4102928319
"China","Reference_CI_IPSL","crops","2015",1159.97250457191
"China","Reference_CI_IPSL","crops","2020",1179.47106383113
"China","Reference_CI_IPSL","crops","2025",1193.82350879548
"China","Reference_CI_IPSL","crops","2030",1182.33419728609
"China","Reference_CI_IPSL","crops","2035",1167.99343411047
"China","Reference_CI_IPSL","crops","2040",1148.09157353202
"China","Reference_CI_IPSL","crops","2045",1115.30029549537
"China","Reference_CI_IPSL","crops","2050",1088.49807560282
"China","Reference_CI_IPSL","crops","2055",1059.03323266209
"China","Reference_CI_IPSL","crops","2060",1027.44848757815
"China","Reference_CI_IPSL","crops","2065",995.488092943411
"China","Reference_CI_IPSL","crops","2070",965.293452027762
"China","Reference_CI_IPSL","crops","2075",941.896504571949
"China","Reference_CI_IPSL","crops","2080",920.900996471008
"China","Reference_CI_IPSL","crops","2085",900.988442312451
"China","Reference_CI_IPSL","crops","2090",882.103148009761
"China","Reference_CI_IPSL","crops","2095",867.167310707049
"China","Reference_CI_IPSL","crops","2100",853.205157582071
"China","Reference_CI_IPSL","forest","1990",1365.418215
"China","Reference_CI_IPSL","forest","2005",1359.97669139
"China","Reference_CI_IPSL","forest","2010",1403.5948151
"China","Reference_CI_IPSL","forest","2015",1404.7081637
"China","Reference_CI_IPSL","forest","2020",1404.5755731
"China","Reference_CI_IPSL","forest","2025",1444.91802609
"China","Reference_CI_IPSL","forest","2030",1460.54715587
